"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks"
"21","R,G,W","8","Gishath, Sun's Avatar","mythic","Creature","5.49","5.19","5.72","3.29","0.02","0.93","21552"
"22","G,W,U","4","Ms. Bumbleflower","mythic","Creature","0.99","0.77","1.42","4.25","","0.81","21577"
"23","W,U,B,R,G","3","Esika, God of the Tree","mythic","Creature","19.99","14.77","17.88","9.64","0.02","1.15","21215"
"24","R,G,W","3","Baylen, the Haymaker","rare","Creature","1.29","0.74","1.42","0.59","0.02","0.92","21115"
"25","B,G,U","6","Muldrotha, the Gravetide","mythic","Creature","3.49","3.52","3.21","2.75","0.02","0.9","20739"
"26","U,B","4","Wilhelt, the Rotcleaver","mythic","Creature","8.99","8.3","9.3","0.55","3.67","0.52","20414"
"27","R,G,W,U","4","Aragorn, the Uniter","mythic","Creature","4.99","4.8","5.72","4.93","0.02","0.75","20393"
"28","W,B,G","2","Frodo, Adventurous Hobbit // Sam, Loyal Attendant","mythic","Creature","0.99","0.33","0.71","0.38","1.2","0.42","20308"
"29","G,U,R","3","Animar, Soul of Elements","mythic","Creature","13.99","11.45","12.87","8.23","0.08","1.05","20220"
"30","U,R","3","Vivi Ornitier","mythic","Creature","27.99","35.2","39.35","27.56","4.78","2.81","20088"
"31","G,W,U","4","Arcades, the Strategist","mythic","Creature","1.99","2.15","1.78","1.7","0.02","0.82","19793"
"32","Colorless","6","Zhulodok, Void Gorger","mythic","Creature","32.99","32.77","35.77","28.35","4.15","1.37","19790"
"33","W,U","4","Shorikai, Genesis Engine","mythic","Artifact","3.99","2.91","4.29","2.86","7.07","0.57","19721"
"34","B,R","4","Valgavoth, Harrower of Souls","mythic","Creature","14.99","10.5","17.17","20.87","0.17","0.76","19559"
"35","W,B,G","4","The Necrobloom","rare","Creature","0.49","0.35","0.54","0.17","0.02","0.65","19507"
"36","B,G,U","4","Teval, the Balanced Scale","mythic","Creature","5.99","7.22","6.43","4.23","","0.6","19484"
"37","R,G,W","4","Rin and Seri, Inseparable","mythic","Creature","12.99","15.0","35.77","3.51","0.02","0.5","19368"
"38","R,W,B","3","Mr. House, President and CEO","mythic","Creature","0.99","0.6","1.07","1.63","2.42","0.88","19364"
"39","R,G,W","5","Voja, Jaws of the Conclave","mythic","Creature","11.99","8.49","9.3","","","1.68","19204"
"40","B,G","4","Meren of Clan Nel Toth","mythic","Creature","1.79","1.12","1.78","0.7","1.59","0.74","18640"
"41","R,W,B","4","Caesar, Legion's Emperor","mythic","Creature","3.99","2.62","4.29","8.19","","0.48","18310"
"42","U,R","3","Ghyrson Starn, Kelermorph","rare","Creature","44.99","36.9","42.93","25.91","10.18","1.11","18245"
"43","W,B","4","Teysa Karlov","rare","Creature","2.49","1.29","2.5","0.8","0.02","0.53","18243"
"44","W,U,B,R","4","Breya, Etherium Shaper","mythic","Creature","0.99","0.5","0.71","0.38","0.02","0.24","18208"
"45","R,G","3","Bello, Bard of the Brambles","mythic","Creature","1.49","1.25","1.42","6.15","","0.6","17984"
"46","W,U,B","2","Hashaton, Scarab's Fist","mythic","Creature","0.99","1.21","1.07","1.16","3.2","0.67","17942"
"47","B,R,G","5","Korvold, Fae-Cursed King","mythic","Creature","1.99","1.23","1.78","2.6","0.02","1.65","17587"
"48","B","7","K'rrik, Son of Yawgmoth","rare","Creature","1.49","0.86","1.42","0.57","0.02","1.28","17553"
"49","W,B","3","Eriette of the Charmed Apple","mythic","Creature","2.79","1.0","2.86","1.41","0.02","0.49","17517"
"50","R,G,W","4","Atla Palani, Nest Tender","mythic","Creature","0.79","0.95","0.71","0.45","0.25","0.55","17447"
"51","W,U,B,R,G","5","Tom Bombadil","mythic","Creature","4.49","3.21","4.29","2.9","0.02","0.43","17422"
"52","G,U,R","3","Flubs, the Fool","mythic","Creature","2.29","2.63","2.14","0.52","5.29","0.56","17333"
"53","U,B,R","4","Obeka, Splitter of Seconds","rare","Creature","0.49","0.3","0.35","0.3","0.02","0.61","16981"
"54","B,R,G","3","Henzie ""Toolbox"" Torre","mythic","Creature","0.99","0.58","1.07","0.06","4.22","0.69","16930"
"55","W,U,B,R,G","4","Go-Shintai of Life's Origin","mythic","Creature","5.49","4.94","5.0","5.2","14.64","0.55","16931"
"56","W,U,B","6","Oloro, Ageless Ascetic","mythic","Creature","11.99","14.08","12.87","10.85","0.03","1.14","16807"
"57","U","4","Urza, Lord High Artificer","mythic","Creature","16.99","13.5","17.17","9.47","0.29","2.31","16690"
"58","W,U,B","4","Sidar Jabari of Zhalfir","mythic","Creature","0.99","0.5","0.71","0.34","2.03","0.63","16305"
"59","G,U,R","5","Xyris, the Writhing Storm","mythic","Creature","0.99","1.19","1.07","0.52","0.8","0.5","16288"
"60","U,R","6","Niv-Mizzet, Parun","rare","Creature","4.99","4.0","5.72","1.29","0.02","1.27","16239"
"61","R,G,W,U","4","Omnath, Locus of Creation","mythic","Creature","2.99","3.29","2.86","2.62","0.68","1.02","16185"
"62","G,U","2","Kinnan, Bonder Prodigy","mythic","Creature","17.99","13.44","17.88","9.82","0.02","2.15","16117"
"63","B,G","5","Ygra, Eater of All","mythic","Creature","11.99","7.56","10.73","5.83","0.41","0.93","15994"
"64","B,G,U","4","Zaxara, the Exemplary","mythic","Creature","0.99","1.17","1.07","0.44","3.46","0.41","15913"
"65","G,W,U,B","7","Atraxa, Grand Unifier","mythic","Creature","16.99","13.37","18.6","16.11","11.4","1.55","15802"
"66","W,U,B","6","Urza, Chief Artificer","mythic","Creature","0.99","1.26","1.07","1.08","2.34","0.69","15804"
"67","B,G,U","3","Glarb, Calamity's Augur","mythic","Creature","5.49","3.92","5.0","3.81","0.06","0.36","15812"
"68","W,U,B,R,G","2","Ezio Auditore da Firenze","mythic","Creature","6.49","3.5","6.43","6.58","0.02","0.62","15773"
"69","W,U,B,R,G","5","The First Sliver","mythic","Creature","32.99","29.99","35.77","19.44","0.02","1.66","15743"
"70","W,U,B,R,G","3","Sisay, Weatherlight Captain","rare","Creature","1.99","1.99","1.78","1.16","0.02","0.98","15324"
"71","U,B","5","Captain N'ghathrod","mythic","Creature","7.99","8.0","7.15","0.32","3.03","0.6","15247"
"72","W,U,B,R,G","3","Urtet, Remnant of Memnarch","mythic","Creature","2.99","2.12","2.5","1.64","8.6","0.47","15099"
"73","R,W,B","4","Queen Marchesa","rare","Creature","0.99","0.52","1.07","0.39","1.65","0.37","15083"
"74","U,B,R","5","Kefka, Court Mage","mythic","Creature","8.99","7.82","8.58","5.58","0.03","1.22","14938"
"75","B","3","Sephiroth, Fabled SOLDIER","mythic","Creature","39.99","35.0","46.51","36.35","2.21","1.43","14932"
"76","R,W","2","Arabella, Abandoned Doll","uncommon","Creature","0.49","0.38","0.54","0.28","0.03","0.55","14807"
"77","R","2","Magda, Brazen Outlaw","rare","Creature","2.49","1.54","1.42","0.79","0.02","0.82","14681"
"78","U,B","4","Alela, Cunning Conqueror","mythic","Creature","11.99","8.02","11.44","5.43","3.07","0.8","14626"
"79","R,G,W","5","Cloud, Ex-SOLDIER","mythic","Creature","0.99","0.81","1.07","1.01","1.32","0.7","14258"
"80","G,W,U","5","Galadriel, Light of Valinor","mythic","Creature","18.99","14.33","24.32","13.87","1.12","0.56","14222"
"81","W,U,B","4","Alela, Artful Provocateur","mythic","Creature","0.99","0.49","0.71","0.42","0.02","0.5","14091"
"82","W,U,B","5","Marneus Calgar","mythic","Creature","10.99","10.86","11.44","3.72","","0.87","14054"
"83","U,R","3","Stella Lee, Wild Card","mythic","Creature","4.99","6.87","5.0","2.81","","0.98","13925"
"84","U,R,W","3","Zinnia, Valley's Voice","mythic","Creature","0.99","0.39","0.71","0.6","","0.73","13621"
"85","G,U","6","Aesi, Tyrant of Gyre Strait","mythic","Creature","10.99","9.36","17.17","11.2","18.5","1.13","13507"
"86","W,U,B","4","Zur the Enchanter","rare","Creature","1.29","0.53","1.07","0.43","0.02","1.16","13470"
"87","W,U,B,R,G","5","Omnath, Locus of All","rare","Creature","0.49","0.41","0.35","0.13","0.02","0.53","13437"
"88","R,G","3","Tovolar, Dire Overlord","rare","Creature","0.99","0.69","1.07","0.46","0.02","0.38","13363"
"89","U,B,R","6","Be'lakor, the Dark Master","mythic","Creature","2.49","3.52","2.5","4.73","","0.24","13376"
"90","W,U,B","4","Aminatou, Veil Piercer","mythic","Creature","0.99","0.5","1.07","0.5","","0.43","12976"
"91","B,R","4","Prosper, Tome-Bound","mythic","Creature","7.99","6.19","8.58","10.45","8.04","0.82","12807"
"92","G,W,U","3","Helga, Skittish Seer","mythic","Creature","4.99","3.55","5.0","2.47","0.26","0.28","12712"
"93","W,B,G","5","Anikthea, Hand of Erebos","mythic","Creature","4.49","5.2","4.29","3.21","1.48","0.39","12650"
"94","G,U,R","4","Magus Lucea Kane","mythic","Creature","2.99","1.95","3.21","3.98","","0.56","12630"
"95","W,U,B,R,G","7","Morophon, the Boundless","mythic","Creature","6.49","6.0","6.43","3.78","0.02","0.67","12580"
"96","G,W","2","Sythis, Harvest's Hand","rare","Creature","3.49","2.85","3.21","2.16","0.02","0.97","12481"
"97","G","2","Fynn, the Fangbearer","uncommon","Creature","0.35","0.25","0.21","0.11","0.03","1.15","12487"
"98","W,U,B,R,G","3","Najeela, the Blade-Blossom","mythic","Creature","8.99","9.84","7.15","3.78","0.39","1.29","12448"
"99","R","4","Ojer Axonil, Deepest Might","mythic","Creature","21.99","20.05","19.31","12.63","0.64","0.73","12425"
"100","U,B","3","Satoru Umezawa","rare","Creature","0.79","0.5","0.54","0.24","0.02","0.8","12416"
"101","W,U,B","6","Tivit, Seller of Secrets","mythic","Creature","3.49","3.01","3.56","2.89","13.99","1.25","12399"
"102","B,G","6","Shelob, Child of Ungoliant","rare","Creature","3.99","4.75","3.56","0.58","0.02","0.4","12342"
"103","U,B","5","Lord of the Nazgûl","rare","Creature","2.49","1.27","2.49","2.42","2.56","0.39","12329"
"104","U,R,W","4","Satya, Aetherflux Genius","mythic","Creature","0.99","0.26","0.71","0.13","0.02","0.36","12309"
"105","U,B","5","The Scarab God","mythic","Creature","8.49","6.8","9.28","5.16","0.02","0.76","12260"
"106","U,R,W","4","Kykar, Wind's Fury","rare","Creature","0.49","0.49","0.54","0.27","0.02","0.57","12199"
"107","G,U,R","4","Storm, Force of Nature","mythic","Creature","27.99","33.92","32.13","33.67","","1.91","12163"
"108","W,B,G","4","Thalia and The Gitrog Monster","mythic","Creature","4.49","4.42","4.99","3.09","0.03","1.01","12144"
"109","R,G","7","Etali, Primal Conqueror","rare","Creature","20.99","19.68","20.7","12.25","0.02","1.65","12112"
"110","U,R,W","5","Éowyn, Shieldmaiden","mythic","Creature","0.99","0.39","1.06","0.22","1.23","0.19","12020"
"111","R,W,B","3","Zurgo Stormrender","mythic","Creature","3.99","4.29","4.28","5.61","","0.28","11960"
"112","B,R","5","Judith, Carnage Connoisseur","rare","Creature","0.59","0.36","0.71","0.22","0.02","0.62","11928"
"113","B,R","4","Deadpool, Trading Card","mythic","Creature","17.99","18.72","19.99","16.89","","1.9","11912"
"114","G,U","3","Omo, Queen of Vesuva","mythic","Creature","0.99","0.3","1.06","0.41","0.03","0.43","11799"
"115","W,U","4","Hylda of the Icy Crown","mythic","Creature","4.49","1.59","3.56","1.46","0.02","0.58","11728"
"116","R,W","3","Feather, the Redeemed","rare","Creature","0.79","0.75","1.06","0.4","0.02","0.9","11703"
"117","U,B,R","4","Marchesa, the Black Rose","rare","Creature","1.49","1.36","1.42","0.71","0.02","0.7","11624"
"118","B,R,G","4","Hearthhull, the Worldseed","mythic","Artifact","0.99","0.85","1.06","1.1","","0.46","11623"
"119","W,U,B,R,G","3","Azlask, the Swelling Scourge","mythic","Creature","0.99","0.4","1.06","0.37","0.03","0.78","11577"
"120","B,G,U","4","Kotis, the Fangkeeper","rare","Creature","0.49","0.37","0.35","0.22","0.02","0.84","11462"
"121","W,U","4","Brago, King Eternal","rare","Creature","3.49","2.5","3.21","1.72","0.02","0.98","11459"
"122","R,G","3","Kibo, Uktabi Prince","mythic","Creature","3.49","4.84","4.28","0.86","","0.43","11354"
"123","B,G,U","5","Yarok, the Desecrated","mythic","Creature","4.99","3.26","4.99","1.72","0.02","0.72","11348"
"124","B","5","Marrow-Gnawer","rare","Creature","13.99","9.93","13.56","0.66","0.02","0.58","11332"
"125","R,W","4","Winota, Joiner of Forces","mythic","Creature","4.99","4.93","4.99","2.11","0.13","1.85","11238"
"126","G,U","4","Zimone, Mystery Unraveler","mythic","Creature","0.99","0.48","0.71","0.43","","0.36","11178"
"127","U,R,W","4","Narset, Enlightened Exile","mythic","Creature","11.99","8.27","9.28","7.4","0.02","0.78","11007"
"128","G,U,R","7","Ureni of the Unwritten","mythic","Creature","19.99","18.34","22.13","13.11","","0.85","10919"
"129","W,B","5","Liesa, Shroud of Dusk","rare","Creature","1.29","0.72","1.06","0.5","4.59","0.8","10820"
"130","U,R,W","3","Captain America, First Avenger","mythic","Creature","42.99","47.1","46.41","26.42","","0.9","10759"
"131","B,G","3","The Mycotyrant","mythic","Creature","1.49","0.65","1.42","1.05","0.02","0.27","10757"
"132","B,R,G","5","Disa the Restless","mythic","Creature","0.99","0.25","0.71","0.21","0.02","0.52","10753"
"133","U,B,R","5","Inalla, Archmage Ritualist","mythic","Creature","2.49","3.57","2.49","1.3","1.35","0.93","10729"
"134","B","5","Tergrid, God of Fright","rare","Creature","23.99","18.9","24.99","7.99","0.02","2.8","10637"
"135","G,W,U","4","Choco, Seeker of Paradise","rare","Creature","0.49","0.69","0.35","0.46","0.02","0.43","10634"
"136","R,W,B","4","Dihada, Binder of Wills","mythic","Planeswalker","16.99","16.99","17.13","13.06","5.19","0.68","10516"
"137","W,U","2","Mendicant Core, Guidelight","rare","Creature","1.49","1.17","1.42","0.4","0.02","0.46","10503"
"138","B,G,U","5","Gonti, Canny Acquisitor","mythic","Creature","0.99","0.75","1.06","0.56","5.2","0.59","10485"
"139","W,U,B,R,G","5","Marina Vendrell","rare","Creature","0.49","0.26","0.35","0.14","0.02","0.13","10428"
"140","U,B,R","5","Edward Kenway","mythic","Creature","8.49","5.78","8.56","8.27","0.02","0.4","10393"
"141","W,U,B,R,G","6","Ramos, Dragon Engine","mythic","Creature","3.49","2.0","2.49","2.35","0.02","0.47","10301"
"142","B,R,G","5","Lord Windgrace","mythic","Planeswalker","21.99","18.08","20.7","18.06","2.92","0.71","10286"
"143","R,G,W","3","Rocco, Street Chef","rare","Creature","0.49","0.41","0.54","0.24","0.02","0.05","10278"
"144","R,G,W,U","4","Kynaios and Tiro of Meletis","mythic","Creature","8.99","8.18","9.28","5.19","2.71","0.05","10275"
"145","B","4","Sheoldred, the Apocalypse","mythic","Creature","84.99","60.0","85.69","55.71","6.79","2.03","10220"
"146","W,U,B,R,G","7","Tiamat","mythic","Creature","17.99","19.74","19.99","18.26","0.02","0.96","10180"
"147","B,R","4","Kuja, Genome Sorcerer","rare","Creature","0.99","1.29","1.42","0.98","0.02","0.68","10141"
"148","W,U","4","Grand Arbiter Augustin IV","rare","Creature","14.99","14.77","13.56","4.96","0.02","2.58","10135"
"149","G,W,U","3","Derevi, Empyrial Tactician","mythic","Creature","6.49","7.19","5.71","2.42","5.93","1.42","10121"
"150","W,B","3","Clavileño, First of the Blessed","mythic","Creature","0.99","0.4","1.06","0.72","0.2","0.36","10104"
"151","W,U,B","3","Sefris of the Hidden Ways","mythic","Creature","0.99","0.65","1.06","0.43","5.92","0.47","10044"
"152","U","4","Eluge, the Shoreless Sea","mythic","Creature","5.49","2.38","4.99","1.85","0.03","0.74","10014"
"153","W","2","Light-Paws, Emperor's Voice","rare","Creature","2.79","0.99","2.49","1.18","0.06","1.17","9994"
"154","W,U,B,R,G","3","Terra, Magical Adept","mythic","Creature","4.49","4.11","4.99","5.13","0.21","0.55","9993"
"155","U,B,R","4","Wick, the Whorled Mind","rare","Creature","0.49","0.25","0.35","0.16","0.02","0.47","9978"
"156","W,U,B","4","Varina, Lich Queen","rare","Creature","5.49","3.9","4.28","0.34","0.23","0.44","9914"
"157","W,B,G","4","Felothar the Steadfast","mythic","Creature","0.99","0.86","1.06","0.83","","0.33","9860"
"158","U,R,W","4","Zedruu the Greathearted","mythic","Creature","2.79","2.15","2.49","0.98","0.98","0.94","9772"
"159","W,U,B","5","Temmet, Naktamun's Will","mythic","Creature","0.99","0.5","1.06","0.49","","0.3","9711"
"160","W,U,B,R,G","2","The Wandering Minstrel","rare","Creature","0.49","0.41","0.35","0.36","0.02","0.55","9705"
"161","U,R","3","Veyran, Voice of Duality","mythic","Creature","7.99","6.23","8.56","3.88","4.62","0.73","9679"
"162","R,W","2","Ragost, Deft Gastronaut","rare","Creature","0.49","0.52","0.54","0.1","0.02","0.35","9602"
"163","R","4","Zada, Hedron Grinder","uncommon","Creature","0.35","0.23","0.35","0.1","0.02","0.77","9592"
"164","U,B","4","Jon Irenicus, Shattered One","rare","Creature","0.49","0.25","0.35","0.16","3.74","0.78","9565"
"165","R,G,W","4","Shalai and Hallar","mythic","Creature","3.49","4.68","3.21","2.6","3.68","0.36","9552"
"166","W,U","2","Hope Estheim","rare","Creature","0.49","0.46","0.54","0.26","0.02","0.76","9490"
"167","R,G,W","4","Jetmir, Nexus of Revels","mythic","Creature","9.49","6.74","24.27","4.23","0.02","0.89","9451"
"168","B,R,G","3","Indoraptor, the Perfect Hybrid","rare","Creature","16.99","13.17","18.56","12.02","4.27","0.72","9403"
"169","G,W,U","3","Tidus, Yuna's Guardian","mythic","Creature","0.99","0.67","1.06","2.21","1.08","0.45","9377"
"170","W,U,B,R","5","Kraum, Ludevic's Opus // Tymna the Weaver","rare","Creature","7.99","5.77","6.42","2.86","0.4","0.67","9375"
"171","B,R,G","6","Ziatora, the Incinerator","mythic","Creature","0.99","0.37","1.06","0.36","0.02","0.35","9278"
"172","G,W,U","4","Brenard, Ginger Sculptor","mythic","Creature","0.99","0.78","1.06","0.92","0.23","0.13","9277"
"173","W,B,G","5","Betor, Ancestor's Voice","mythic","Creature","1.49","2.7","2.14","2.43","","0.38","9274"
"174","R,G,W","3","Hazezon, Shaper of Sand","rare","Creature","0.49","0.25","0.35","0.18","0.22","0.53","9244"
"175","B,R","4","Ob Nixilis, Captive Kingpin","mythic","Creature","10.99","7.33","9.28","9.09","0.02","0.76","9215"
"176","B,R","3","Rowan, Scion of War","mythic","Creature","0.99","0.49","0.71","0.45","0.02","0.43","9197"
"177","B,G","4","Hazel of the Rootbloom","mythic","Creature","0.99","1.44","1.06","4.99","","0.31","9182"
"178","U,B","3","Mirko, Obsessive Theorist","mythic","Creature","0.99","0.36","0.71","0.77","1.8","0.65","9143"
"179","G,W","5","Arahbo, Roar of the World","mythic","Creature","27.99","21.6","27.85","","0.97","0.71","9090"
"180","B,R,G","4","Yurlok of Scorch Thrash","rare","Creature","0.49","0.38","0.54","0.23","1.75","0.82","9023"
"181","U,B","4","Vren, the Relentless","rare","Creature","0.59","0.5","0.71","0.37","0.02","0.5","8997"
"182","G,W,U,B","2","Thrasios, Triton Hero // Tymna the Weaver","rare","Creature","22.99","20.86","19.99","14.95","1.62","1.34","8959"
"183","R,G","3","Wolverine, Best There Is","mythic","Creature","39.99","41.0","39.27","20.6","","1.09","8916"
"184","B,G","5","Rendmaw, Creaking Nest","mythic","Creature","0.99","0.61","1.06","0.63","","0.36","8813"
"185","U,B","4","Talion, the Kindly Lord","mythic","Creature","11.99","8.65","12.13","7.01","0.03","0.72","8761"
"186","B,R","4","Rakdos, Lord of Riots","mythic","Creature","0.99","0.5","1.06","0.83","0.02","0.46","8721"
"187","G,U","4","Volo, Guide to Monsters","rare","Creature","0.49","0.35","0.54","0.31","0.02","0.45","8680"
"188","U","4","Orvar, the All-Form","mythic","Creature","2.99","2.61","2.85","2.97","0.73","0.83","8645"
"189","B,R","2","Gev, Scaled Scorch","rare","Creature","0.49","0.43","0.54","0.43","0.02","0.25","8623"
"190","R,W","3","The Jolly Balloon Man","rare","Creature","0.59","0.6","0.71","0.18","0.02","0.39","8622"
"191","W,U,B,R,G","5","Sliver Overlord","rare","Creature","34.99","39.22","42.84","20.45","0.02","1.27","8562"
"192","W,U,B","3","Raffine, Scheming Seer","mythic","Creature","3.49","2.46","3.21","2.81","0.11","0.36","8529"
"193","U","3","The Mindskinner","rare","Creature","2.29","1.62","2.14","0.51","0.02","0.75","8512"
"194","G,U,R","3","Haldan, Avid Arcanist // Pako, Arcane Retriever","mythic","Creature","0.99","0.82","1.06","0.62","2.51","0.3","8507"
"195","W,B","4","Brimaz, Blight of Oreskos","mythic","Creature","0.99","0.5","0.71","0.48","9.26","0.47","8397"
"196","G,W,U","5","Chulane, Teller of Tales","mythic","Creature","1.79","0.99","2.14","1.64","0.03","1.25","8381"
"197","W,U,B,R,G","4","Jodah, Archmage Eternal","rare","Creature","0.49","0.75","0.35","0.24","0.02","1.01","8379"
"198","R,W,B","3","Terra, Herald of Hope","mythic","Creature","0.99","0.48","1.06","1.23","1.55","0.47","8324"
"199","R,G","7","Omnath, Locus of Rage","mythic","Creature","0.99","0.51","1.06","0.52","0.02","0.57","8280"
"200","U,B,R","4","Saruman, the White Hand","mythic","Creature","0.99","0.5","1.06","0.52","1.84","0.3","8273"
"201","U,R","4","Bria, Riptide Rogue","mythic","Creature","22.99","12.52","20.7","","","0.63","8257"
"202","U,B,R","4","Nicol Bolas, the Ravager","mythic","Creature","22.99","19.99","22.85","11.89","0.02","0.77","8219"
"203","U,R,W","3","Kilo, Apogee Mind","mythic","Creature","0.99","1.35","1.06","1.02","","0.39","8212"
"204","B,G","2","Dina, Soul Steeper","uncommon","Creature","0.35","0.25","0.35","0.13","0.03","0.4","8191"
"205","R,G,W","3","Dogmeat, Ever Loyal","mythic","Creature","0.99","0.5","1.06","2.54","5.0","0.77","8187"
"206","B,G","2","Skullbriar, the Walking Grave","rare","Creature","1.49","1.35","1.42","0.54","0.02","0.32","8173"
"207","G,W","4","Ellivere of the Wild Court","mythic","Creature","0.99","0.5","1.06","0.57","2.58","0.36","8172"
"208","G","3","Omnath, Locus of Mana","mythic","Creature","3.99","3.27","3.56","1.71","0.02","0.5","8161"
"209","R,W,B","6","Syr Gwyn, Hero of Ashvale","mythic","Creature","0.99","1.92","1.06","2.22","0.02","0.29","8155"
"210","W,U,B,R,G","5","Child of Alara","rare","Creature","0.79","0.98","0.71","0.53","0.02","1.23","8143"
"211","B,R","3","The Infamous Cruelclaw","mythic","Creature","2.49","1.39","2.14","1.36","0.31","0.71","8125"
"212","R,G","5","Roxanne, Starfall Savant","rare","Creature","0.49","0.51","0.54","0.57","0.02","0.47","8026"
"213","U,B,R","3","Goro-Goro and Satoru","mythic","Creature","1.99","1.46","1.78","0.88","2.12","0.43","8025"
"214","R,W,B","3","Vihaan, Goldwaker","mythic","Creature","0.99","0.52","1.06","1.22","3.5","0.07","8022"
"215","B,R,G","3","Slimefoot and Squee","mythic","Creature","2.99","1.93","2.49","1.96","7.38","0.76","8012"
"216","R,G","4","Raggadragga, Goreguts Boss","rare","Creature","0.49","0.25","0.35","0.13","","0.25","7996"
"217","U,R","5","Okaun, Eye of Chaos // Zndrsplt, Eye of Wisdom","rare","Creature","3.49","2.43","22.85","1.79","0.91","0.07","7978"
"218","R,G,W","8","Yuma, Proud Protector","mythic","Creature","0.99","0.49","1.06","0.49","11.0","0.42","7972"
"219","B,G,U","3","Xavier Sal, Infested Captain","rare","Creature","1.79","0.88","1.78","0.78","0.17","0.25","7959"
"220","U,B,R,G","4","Yidris, Maelstrom Wielder","mythic","Creature","7.49","6.88","6.42","4.34","1.19","0.57","7923"
"221","R,G","4","Minsc & Boo, Timeless Heroes","mythic","Planeswalker","3.49","2.0","3.21","3.22","6.74","0.54","7922"
"222","U,B,R","5","Admiral Brass, Unsinkable","mythic","Creature","0.99","0.27","0.71","0.19","0.02","0.38","7905"
"223","B,G,U","5","Indominus Rex, Alpha","rare","Creature","10.99","9.94","9.28","6.76","2.92","0.73","7880"
"224","G,W,U","3","Morska, Undersea Sleuth","mythic","Creature","0.99","0.34","0.71","0.19","1.23","0.26","7875"
"225","U,R","7","Ovika, Enigma Goliath","rare","Creature","0.49","0.34","0.54","0.17","0.02","0.47","7872"
"226","B,G","5","The Gitrog, Ravenous Ride","mythic","Creature","3.49","1.25","2.49","1.35","0.03","0.52","7827"
"227","B,G","5","The Gitrog Monster","mythic","Creature","1.49","0.84","1.42","1.54","0.02","0.88","7819"
"228","W,U,B","4","Queza, Augur of Agonies","uncommon","Creature","0.35","0.2","0.21","0.06","0.03","0.53","7809"
"229","G,U,R","3","Eshki, Temur's Roar","mythic","Creature","1.49","1.44","1.42","1.6","","0.48","7806"
"230","B","3","Braids, Arisen Nightmare","rare","Creature","3.99","2.42","4.28","2.61","0.02","1.05","7799"
"231","U,R","5","Alania, Divergent Storm","rare","Creature","0.49","0.25","0.35","0.16","0.02","0.27","7791"
"232","U,B,R","4","Obeka, Brute Chronologist","rare","Creature","0.49","0.4","0.35","0.25","1.76","0.46","7776"
"233","U,R","4","Captain Howler, Sea Scourge","rare","Creature","0.99","0.39","0.71","0.21","0.02","0.29","7738"
