"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks"
"20","W,U,B,R,G","5","Jodah, the Unifier","mythic","Creature","2.99","2.0","2.86","1.7","0.02","1.94","25753"
"21","B,R,G","3","Eddie Brock","mythic","Creature","6.99","6.5","9.3","5.29","0.94","0.55","4150"
"22","W","2","Giada, Font of Hope","rare","Creature","0.99","0.98","1.07","0.77","0.02","0.46","25971"
"23","B,G,U","4","The Wise Mothman","mythic","Creature","0.99","0.75","1.07","8.57","","1.01","25177"
"24","U,B","3","Yuriko, the Tiger's Shadow","rare","Creature","2.79","1.86","2.86","1.54","1.79","2.15","28871"
"25","B,G","4","Lathril, Blade of the Elves","rare","Creature","0.49","0.39","0.35","0.28","0.02","0.91","28136"
"26","W","5","Anti-Venom, Horrifying Healer","mythic","Creature","11.99","11.77","14.3","5.82","0.78","1.01","4210"
"27","B,R","4","Valgavoth, Harrower of Souls","mythic","Creature","14.99","10.5","17.17","20.87","0.17","0.76","19559"
"28","U,R,W","3","Kilo, Apogee Mind","mythic","Creature","0.99","1.35","1.07","1.02","","0.39","8259"
"29","G,W,U","3","Tidus, Yuna's Guardian","mythic","Creature","0.99","0.69","1.07","2.21","1.08","0.45","9413"
"30","R,W","2","Ragost, Deft Gastronaut","rare","Creature","0.49","0.51","0.54","0.1","0.02","0.35","9642"
"31","R,W,B","3","Terra, Herald of Hope","mythic","Creature","0.99","0.47","1.07","1.23","1.55","0.47","8377"
"32","R,W,B","3","Isshin, Two Heavens as One","rare","Creature","4.99","3.29","4.29","3.69","0.02","0.65","24085"
"33","W,B,G","2","Frodo, Adventurous Hobbit // Sam, Loyal Attendant","mythic","Creature","0.99","0.33","0.71","0.38","1.2","0.42","20308"
"34","B,G","3","Chatterfang, Squirrel General","mythic","Creature","3.99","2.47","5.0","4.51","0.02","0.96","21588"
"35","W,U,B,R,G","5","Kenrith, the Returned King","mythic","Creature","1.29","1.05","1.07","0.79","0.02","1.09","26825"
"36","R,G,W","3","Baylen, the Haymaker","rare","Creature","1.29","0.74","1.42","0.59","0.02","0.92","21115"
"37","U,R,W","3","Atreus, Impulsive Son // Kratos, Stoic Father","mythic","Creature","","","","","","0","1895"
"38","B,G,U","6","Muldrotha, the Gravetide","mythic","Creature","3.49","3.52","3.21","2.75","0.02","0.9","20739"
"39","B,R","4","Kuja, Genome Sorcerer","rare","Creature","0.99","1.25","1.42","0.98","0.02","0.68","10176"
"40","R,G","3","Bello, Bard of the Brambles","mythic","Creature","1.49","1.25","1.42","6.15","","0.6","17984"
"41","G,U,R","6","Miirym, Sentinel Wyrm","rare","Creature","4.49","3.19","4.29","4.24","9.81","1.78","25632"
"42","G,U","4","Hakbal of the Surging Soul","mythic","Creature","0.99","0.35","1.07","0.61","","0.74","22502"
"43","R,W,B","4","Caesar, Legion's Emperor","mythic","Creature","3.99","2.62","4.29","8.19","","0.48","18310"
"44","W,U,B,R,G","5","Ulalek, Fused Atrocity","mythic","Creature","0.99","0.65","1.07","0.55","0.02","1.32","22291"
"45","G,U,R","7","Ureni of the Unwritten","mythic","Creature","19.99","18.3","22.18","13.11","","0.85","10954"
"46","W,U,B,R,G","2","The Wandering Minstrel","rare","Creature","0.49","0.41","0.35","0.33","0.02","0.55","9756"
"47","W,U,B,R,G","3","Terra, Magical Adept","mythic","Creature","4.49","4.1","5.0","5.13","0.22","0.55","10024"
"48","B,G,U","3","Glarb, Calamity's Augur","mythic","Creature","5.49","3.92","5.0","3.81","0.06","0.36","15812"
"49","B,R,G","5","Korvold, Fae-Cursed King","mythic","Creature","1.99","1.23","1.78","2.6","0.02","1.65","17587"
"50","W,U,B","2","Hashaton, Scarab's Fist","mythic","Creature","0.99","1.21","1.07","1.16","3.2","0.67","17942"
"51","R,W,B","3","Zurgo Stormrender","mythic","Creature","3.49","4.34","4.29","5.61","","0.28","11988"
"52","U,B","4","Wilhelt, the Rotcleaver","mythic","Creature","8.99","8.3","9.3","0.55","3.67","0.52","20414"
"53","R,G","7","Etali, Primal Conqueror","rare","Creature","20.99","19.7","20.74","12.25","0.02","1.65","12136"
"54","G,U","2","Kinnan, Bonder Prodigy","mythic","Creature","17.99","13.44","17.88","9.82","0.02","2.15","16117"
"55","G,U,R","3","Animar, Soul of Elements","mythic","Creature","13.99","11.45","12.87","8.23","0.08","1.05","20220"
"56","G,W,U","2","Peter Parker","mythic","Creature","8.49","7.2","10.01","4.46","1.13","0.69","2850"
"57","W,U,B,R","4","Breya, Etherium Shaper","mythic","Creature","0.99","0.5","0.71","0.38","0.02","0.24","18208"
"58","W,B,G","4","The Necrobloom","rare","Creature","0.49","0.35","0.54","0.17","0.02","0.65","19507"
"59","W,U,B,R,G","3","Esika, God of the Tree","mythic","Creature","19.99","14.77","17.88","9.64","0.02","1.15","21215"
"60","B,G","5","Ygra, Eater of All","mythic","Creature","11.99","7.56","10.73","5.83","0.41","0.93","15994"
"61","W,B","4","Teysa Karlov","rare","Creature","2.49","1.29","2.5","0.8","0.02","0.53","18243"
"62","W,U","2","Hope Estheim","rare","Creature","0.49","0.46","0.54","0.26","0.02","0.76","9527"
"63","U,B","5","Captain N'ghathrod","mythic","Creature","7.99","8.0","7.15","0.32","3.03","0.6","15247"
"64","U,R,W","4","Sonic the Hedgehog","mythic","Creature","2.99","3.37","3.57","1.9","","0.82","5908"
"65","B,G","4","Meren of Clan Nel Toth","mythic","Creature","1.79","1.12","1.78","0.7","1.59","0.74","18640"
"66","R,G,W,U","4","Aragorn, the Uniter","mythic","Creature","4.99","4.8","5.72","4.93","0.02","0.75","20393"
"67","B","7","K'rrik, Son of Yawgmoth","rare","Creature","1.49","0.86","1.42","0.57","0.02","1.28","17553"
"68","W,U,B","6","Oloro, Ageless Ascetic","mythic","Creature","11.99","14.08","12.87","10.85","0.03","1.14","16807"
"69","B,R","4","Shadow the Hedgehog","mythic","Creature","7.99","5.9","7.15","5.59","","1.02","6634"
"70","U,R,W","3","Inspirit, Flagship Vessel","mythic","Artifact","0.99","0.77","1.07","0.9","","0.44","5449"
"71","G,W,U","4","Choco, Seeker of Paradise","rare","Creature","0.49","0.68","0.35","0.44","0.02","0.43","10668"
"72","B,R,G","3","Henzie ""Toolbox"" Torre","mythic","Creature","0.99","0.58","1.07","0.06","4.22","0.69","16930"
"73","Colorless","6","Zhulodok, Void Gorger","mythic","Creature","32.99","32.77","35.77","28.35","4.15","1.37","19790"
"74","U,R","3","Ghyrson Starn, Kelermorph","rare","Creature","44.99","36.9","42.93","25.91","10.18","1.11","18245"
"75","G,U,R","3","Flubs, the Fool","mythic","Creature","2.29","2.63","2.14","0.52","5.29","0.56","17333"
"76","R","5","Jaws, Relentless Predator","mythic","Creature","","59.99","","","","0","1415"
"77","G,W,U","3","Helga, Skittish Seer","mythic","Creature","4.99","3.55","5.0","2.47","0.26","0.28","12712"
"78","W,B","7","Mister Negative","mythic","Creature","2.99","1.89","2.86","1.73","0.59","0.82","2500"
"79","U,B,R","5","Dr. Eggman","mythic","Creature","2.99","2.0","3.57","1.29","","0.71","6031"
"80","W,U,B,R,G","3","Sisay, Weatherlight Captain","rare","Creature","1.99","1.99","1.78","1.16","0.02","0.98","15324"
"81","R,W,B","3","Mr. House, President and CEO","mythic","Creature","0.99","0.6","1.07","1.63","2.42","0.88","19364"
"82","U","4","Urza, Lord High Artificer","mythic","Creature","16.99","13.5","17.17","9.47","0.29","2.31","16690"
"83","R,G,W","8","Gishath, Sun's Avatar","mythic","Creature","5.49","5.19","5.72","3.29","0.02","0.93","21552"
"84","W,B,G","5","Betor, Ancestor's Voice","mythic","Creature","1.49","2.51","2.14","2.43","","0.38","9295"
"85","W,U,B","5","Marneus Calgar","mythic","Creature","10.99","10.86","11.44","3.72","","0.87","14054"
"86","R,G,W","4","Rin and Seri, Inseparable","mythic","Creature","12.99","15.0","35.77","3.51","0.02","0.5","19368"
"87","W,U,B,R,G","5","The First Sliver","mythic","Creature","32.99","29.99","35.77","19.44","0.02","1.66","15743"
"88","U,B","4","Alela, Cunning Conqueror","mythic","Creature","11.99","8.02","11.44","5.43","3.07","0.8","14626"
"89","U,R,W","2","Gwen Stacy","mythic","Creature","5.49","4.42","6.43","2.61","0.7","0.39","2566"
"90","W,U","4","Shorikai, Genesis Engine","mythic","Artifact","3.99","2.91","4.29","2.86","7.07","0.57","19721"
"91","W,U,B,R","5","Kraum, Ludevic's Opus // Tymna the Weaver","rare","Creature","7.99","5.76","6.43","2.87","0.4","0.67","9379"
"92","U,R,W","3","Zinnia, Valley's Voice","mythic","Creature","0.99","0.39","0.71","0.6","","0.73","13621"
"93","G,U","5","Aloy, Savior of Meridian","mythic","Creature","","","","","","0","1294"
"94","G,U,R","5","Xyris, the Writhing Storm","mythic","Creature","0.99","1.19","1.07","0.52","0.8","0.5","16288"
"95","R,G,W","4","Atla Palani, Nest Tender","mythic","Creature","0.79","0.95","0.71","0.45","0.25","0.55","17447"
"96","B,G,U","4","Kotis, the Fangkeeper","rare","Creature","0.49","0.37","0.35","0.22","0.02","0.84","11485"
"97","G,W,U,B","7","Atraxa, Grand Unifier","mythic","Creature","16.99","13.37","18.6","16.11","11.4","1.55","15802"
"98","R,W","2","Arabella, Abandoned Doll","uncommon","Creature","0.49","0.38","0.54","0.28","0.03","0.55","14807"
"99","R,G,W","5","Voja, Jaws of the Conclave","mythic","Creature","11.99","8.49","9.3","","","1.68","19204"
"100","B,G,U","4","Zaxara, the Exemplary","mythic","Creature","0.99","1.17","1.07","0.44","3.46","0.41","15913"
"101","W,U,B,R,G","5","Tom Bombadil","mythic","Creature","4.49","3.21","4.29","2.9","0.02","0.43","1249"
"102","R","2","Magda, Brazen Outlaw","rare","Creature","2.49","1.54","1.42","0.79","0.02","0.82","1242"
"103","G,W,U","4","Arcades, the Strategist","mythic","Creature","1.99","2.15","1.78","1.7","0.02","0.82","1241"
"104","W,U,B","6","Urza, Chief Artificer","mythic","Creature","0.99","1.26","1.07","1.08","2.34","0.69","1238"
"105","G","2","Tifa Lockhart","rare","Creature","3.49","4.0","4.29","3.46","0.17","1.1","1236"
"106","W,B,G","4","Felothar the Steadfast","mythic","Creature","0.99","0.86","1.07","0.83","","0.33","1234"
"107","R","3","Kratos, God of War","mythic","Creature","","","","","","0","1226"
"108","W,U,B","4","Sidar Jabari of Zhalfir","mythic","Creature","0.99","0.5","0.71","0.34","2.03","0.63","1216"
"109","G,U,R","3","Eshki, Temur's Roar","mythic","Creature","1.49","1.44","1.42","1.6","","0.48","1205"
"110","W,B","3","Eriette of the Charmed Apple","mythic","Creature","2.79","1.0","2.86","1.41","0.02","0.49","1188"
"111","R,W,B","4","Queen Marchesa","rare","Creature","0.99","0.52","1.07","0.39","1.65","0.37","1188"
"112","G,U","4","Zimone, Mystery Unraveler","mythic","Creature","0.99","0.47","0.71","0.43","","0.36","1181"
"113","R,G,W,U","4","Omnath, Locus of Creation","mythic","Creature","2.99","3.29","2.86","2.62","0.68","1.02","1177"
"114","W,U,B,R,G","4","Go-Shintai of Life's Origin","mythic","Creature","5.49","4.94","5.0","5.2","14.64","0.55","1172"
"115","R,G,W","2","Miles Morales","mythic","Creature","9.49","7.0","10.73","3.9","0.58","0.88","1171"
"116","R","4","Tannuk, Steadfast Second","mythic","Creature","4.49","4.17","5.0","3.62","0.07","0.67","1170"
"117","R,W","3","Lightning, Army of One","mythic","Creature","13.99","12.83","13.59","12.12","0.09","0.79","1163"
"118","U,B","5","Umbris, Fear Manifest","mythic","Creature","14.99","9.99","11.44","5.71","0.22","0.14","1162"
"119","U,B,R","6","Be'lakor, the Dark Master","mythic","Creature","2.49","3.52","2.5","4.73","","0.24","1162"
"120","W,U","4","Brago, King Eternal","rare","Creature","3.49","2.51","3.21","1.61","0.02","0.98","1144"
"121","G,W,U","5","Galadriel, Light of Valinor","mythic","Creature","18.99","14.33","24.32","13.87","1.12","0.56","1143"
"122","G,U","6","Aesi, Tyrant of Gyre Strait","mythic","Creature","10.99","9.36","17.17","11.2","18.5","1.13","1138"
"123","W,U,B,R,G","2","Ezio Auditore da Firenze","mythic","Creature","6.49","3.5","6.43","6.58","0.02","0.62","1136"
"124","R,G","3","Tannuk, Memorial Ensign","uncommon","Creature","0.69","0.31","0.71","0.33","0.04","0.31","1131"
"125","W,U,B","4","Alela, Artful Provocateur","mythic","Creature","0.99","0.49","0.71","0.42","0.02","0.5","1130"
"126","R,W,B","4","Celes, Rune Knight","mythic","Creature","0.99","0.48","1.07","1.1","1.28","0.29","1114"
"127","U,R,W","5","Éowyn, Shieldmaiden","mythic","Creature","0.99","0.38","1.07","0.3","1.23","0.19","1106"
"128","B,R,G","5","Szarel, Genesis Shepherd","mythic","Creature","0.99","0.5","1.07","0.65","7.76","0.3","1051"
"129","U,B,R","4","Obeka, Splitter of Seconds","rare","Creature","0.49","0.3","0.35","0.3","0.02","0.61","1048"
"130","W,U","2","Mendicant Core, Guidelight","rare","Creature","1.49","1.19","1.42","0.4","0.02","0.46","1048"
"131","W,U,B,R,G","5","Infinite Guideline Station","rare","Artifact","0.49","0.32","0.35","0.13","0.03","0.21","1048"
"132","W,U,B","4","Zur the Enchanter","rare","Creature","1.29","0.53","1.07","0.43","0.02","1.16","1045"
"133","R,G,W","3","Rocco, Street Chef","rare","Creature","0.49","0.41","0.54","0.23","0.02","0.05","1039"
"134","U,B,R","5","Inalla, Archmage Ritualist","mythic","Creature","2.49","3.56","2.5","1.25","1.35","0.93","1036"
"135","G,W","2","Sythis, Harvest's Hand","rare","Creature","3.49","2.85","3.21","2.16","0.02","0.97","1034"
"136","W,U,B,R,G","3","Urtet, Remnant of Memnarch","mythic","Creature","2.99","2.12","2.5","1.64","8.6","0.47","1031"
"137","U,B","3","Satoru Umezawa","rare","Creature","0.79","0.5","0.54","0.24","0.02","0.8","1021"
"138","R,G","3","Tovolar, Dire Overlord","rare","Creature","0.99","0.69","1.07","0.46","0.02","0.38","1021"
"139","U,R,W","4","Satya, Aetherflux Genius","mythic","Creature","0.99","0.28","0.71","0.19","0.02","0.36","1016"
"140","W,U,B","4","Aminatou, Veil Piercer","mythic","Creature","0.99","0.5","1.07","0.5","","0.43","1013"
"141","U","4","Eluge, the Shoreless Sea","mythic","Creature","5.49","2.36","5.0","1.85","0.03","0.74","1009"
"142","R,G,W","4","Toph, the First Metalbender","rare","Creature","0.99","15.96","","19.7","","0","1008"
"143","B","5","Gwenom, Remorseless","mythic","Creature","12.99","9.0","14.3","7.88","0.55","0.97","1007"
"144","U,B","5","Lord of the Nazgûl","rare","Creature","2.49","1.28","2.5","2.31","2.56","0.39","1005"
"145","U,B,R","4","Marchesa, the Black Rose","rare","Creature","1.49","1.35","1.42","0.83","0.02","0.7","1000"
"146","U,R,W","3","Captain America, First Avenger","mythic","Creature","42.99","47.1","46.51","26.42","","0.9","1000"
"147","B,R","4","Deadpool, Trading Card","mythic","Creature","17.99","18.61","20.03","16.89","","1.9","984"
"148","U,R,W","4","Kykar, Wind's Fury","rare","Creature","0.49","0.45","0.54","0.25","0.02","0.57","983"
"149","W,U,B,R,G","3","Najeela, the Blade-Blossom","mythic","Creature","8.99","9.84","7.15","3.78","0.39","1.29","971"
"150","G","2","Fynn, the Fangbearer","uncommon","Creature","0.35","0.25","0.21","0.11","0.03","1.15","964"
"151","B,G","6","Shelob, Child of Ungoliant","rare","Creature","3.99","4.89","3.57","0.58","0.02","0.4","956"
"152","G,U","3","Omo, Queen of Vesuva","mythic","Creature","0.99","0.3","1.07","0.39","0.03","0.43","954"
"153","U,B","2","Golbez, Crystal Collector","rare","Creature","0.49","0.48","0.54","0.35","0.02","0.14","945"
"154","B,R","4","Prosper, Tome-Bound","mythic","Creature","7.99","6.19","8.58","10.45","8.04","0.82","943"
"155","U,R","6","Niv-Mizzet, Parun","rare","Creature","4.99","4.0","5.72","1.29","0.02","1.27","941"
"156","U,B","5","The Scarab God","mythic","Creature","8.49","6.85","9.3","5.16","0.02","0.76","934"
"157","W,U,B","5","Temmet, Naktamun's Will","mythic","Creature","0.99","0.5","1.07","0.49","","0.3","919"
"158","W,U,B,R,G","5","Omnath, Locus of All","rare","Creature","0.49","0.41","0.35","0.13","0.02","0.53","917"
"159","G,U,R","4","Magus Lucea Kane","mythic","Creature","2.99","1.95","3.21","3.98","","0.56","914"
"160","W,B,G","5","Anikthea, Hand of Erebos","mythic","Creature","4.49","5.2","4.29","3.21","1.48","0.39","911"
"161","W,U,B","6","Tivit, Seller of Secrets","mythic","Creature","3.49","3.05","3.57","2.88","13.99","1.25","910"
"162","W,B","5","Liesa, Shroud of Dusk","rare","Creature","1.29","0.73","1.07","0.5","4.59","0.8","907"
"163","R,W,B","4","Dihada, Binder of Wills","mythic","Planeswalker","16.99","16.95","17.17","13.06","5.19","0.68","901"
"164","R,W","4","Winota, Joiner of Forces","mythic","Creature","4.99","4.93","5.0","2.11","0.13","1.85","896"
"165","W,U,B","3","Sefris of the Hidden Ways","mythic","Creature","0.99","0.66","1.07","0.43","5.92","0.47","883"
"166","W,U,B,R,G","10","Reaper King","rare","Creature","11.99","19.71","9.3","3.22","0.02","0.9","881"
"167","B,R,G","5","Disa the Restless","mythic","Creature","0.99","0.25","0.71","0.21","0.02","0.52","878"
"168","U,B","4","Vren, the Relentless","rare","Creature","0.59","0.5","0.71","0.37","0.02","0.5","877"
"169","W","2","Light-Paws, Emperor's Voice","rare","Creature","2.79","0.99","2.5","1.18","0.06","1.17","861"
"170","W,U,B,R,G","5","Sliver Overlord","rare","Creature","34.99","38.96","42.93","20.15","0.02","1.27","860"
"171","B,G","4","Hazel of the Rootbloom","mythic","Creature","0.99","1.44","1.07","4.99","","0.31","856"
"172","W,U,B","4","Varina, Lich Queen","rare","Creature","5.49","3.93","4.29","0.34","0.23","0.44","855"
"173","G,U,R","0.0","Rograkh, Son of Rohgahh // Thrasios, Triton Hero","uncommon","Creature","2.49","1.35","2.5","1.31","1.27","0.66","855"
"174","W,U,B,R,G","7","Morophon, the Boundless","mythic","Creature","6.49","6.0","6.43","3.78","0.02","0.67","852"
"175","W,U","4","Niko, Light of Hope","mythic","Creature","0.99","0.5","1.07","0.21","0.02","0.26","847"
"176","W,U,B,R,G","5","Marina Vendrell","rare","Creature","0.49","0.25","0.35","0.12","0.02","0.13","846"
"177","B,R","4","Ob Nixilis, Captive Kingpin","mythic","Creature","10.99","7.3","9.3","9.09","0.02","0.76","844"
"178","B","5","Marrow-Gnawer","rare","Creature","13.99","9.89","13.59","0.66","0.02","0.58","842"
"179","B,G,U","5","Yarok, the Desecrated","mythic","Creature","4.99","3.25","5.0","1.74","0.02","0.72","828"
"180","G,W,U","4","Yuna, Grand Summoner","mythic","Creature","0.99","0.91","1.07","1.83","1.61","0.39","826"
"181","G,W,U,B","2","Thrasios, Triton Hero // Tymna the Weaver","rare","Creature","22.99","20.88","20.03","14.95","1.62","1.34","822"
"182","R,G","3","Kibo, Uktabi Prince","mythic","Creature","3.49","4.84","4.29","0.86","","0.43","821"
"183","W,B,G","4","Thalia and The Gitrog Monster","mythic","Creature","4.49","4.36","5.0","3.09","0.03","1.01","820"
"184","W,U","4","Hylda of the Icy Crown","mythic","Creature","4.49","1.57","3.57","1.46","0.02","0.58","818"
"185","U,R","3","Stella Lee, Wild Card","mythic","Creature","4.99","6.87","5.0","2.81","","0.98","812"
"186","W,U,B,R,G","3","Azlask, the Swelling Scourge","mythic","Creature","0.99","0.4","1.07","0.37","0.03","0.78","812"
"187","B,G","5","Rendmaw, Creaking Nest","mythic","Creature","0.99","0.61","1.07","0.58","","0.36","806"
"188","W,B","3","Clavileño, First of the Blessed","mythic","Creature","0.99","0.4","1.07","0.66","0.2","0.36","798"
"189","U,B,R","4","Wick, the Whorled Mind","rare","Creature","0.49","0.25","0.35","0.17","0.02","0.47","795"
"190","R,G,W,U","4","Kynaios and Tiro of Meletis","mythic","Creature","8.99","8.2","9.3","5.18","2.71","0.05","791"
"191","U,B,R","5","Edward Kenway","mythic","Creature","7.99","5.82","8.58","8.27","0.02","0.4","791"
"192","W,U,B","3","Raffine, Scheming Seer","mythic","Creature","3.49","2.45","3.21","2.81","0.11","0.36","788"
"193","W,U,B,R,G","7","Tiamat","mythic","Creature","17.99","19.49","20.03","18.66","0.02","0.96","778"
"194","R,W","3","Feather, the Redeemed","rare","Creature","0.79","0.75","1.07","0.4","0.02","0.9","777"
"195","B","5","Tergrid, God of Fright","rare","Creature","23.99","18.74","25.04","7.99","0.02","2.8","771"
"196","U,R,W","4","Shiko and Narset, Unified","mythic","Creature","0.99","0.56","1.07","0.87","","0.29","770"
"197","U,B","3","Mirko, Obsessive Theorist","mythic","Creature","0.99","0.36","0.71","0.77","1.8","0.65","770"
"198","U,R","4","Captain Howler, Sea Scourge","rare","Creature","0.99","0.39","0.71","0.21","0.02","0.29","768"
"199","R,G","3","Wolverine, Best There Is","mythic","Creature","39.99","41.12","39.35","20.6","","1.09","763"
"200","U,R,W","4","Zedruu the Greathearted","mythic","Creature","2.79","2.13","2.5","0.98","0.98","0.94","762"
"201","U,B","4","Jon Irenicus, Shattered One","rare","Creature","0.49","0.25","0.35","0.16","3.74","0.78","762"
"202","G,U,R","4","Storm, Force of Nature","mythic","Creature","27.99","34.56","32.19","33.15","","1.91","759"
"203","U","1","Lady Octopus, Inspired Inventor","rare","Creature","0.49","1.0","1.42","1.31","0.14","0.63","758"
"204","G","6","Lumra, Bellow of the Woods","mythic","Creature","42.99","29.91","28.62","24.01","0.38","0.71","754"
"205","R","4","Ojer Axonil, Deepest Might","mythic","Creature","21.99","20.05","19.31","12.63","0.64","0.73","751"
"206","B,R","5","Judith, Carnage Connoisseur","rare","Creature","0.59","0.36","0.71","0.22","0.02","0.62","749"
"207","R","4","Zada, Hedron Grinder","uncommon","Creature","0.35","0.2","0.35","0.1","0.02","0.77","748"
"208","U,B,R","4","Saruman, the White Hand","mythic","Creature","0.99","0.5","1.07","0.59","1.84","0.3","748"
"209","R,W","3","The Jolly Balloon Man","rare","Creature","0.59","0.6","0.71","0.18","0.02","0.39","748"
"210","B","2","Tinybones, Bauble Burglar","rare","Creature","2.49","1.32","2.5","0.7","0.02","0.85","746"
"211","B","4","Sheoldred, the Apocalypse","mythic","Creature","84.99","60.94","85.86","56.24","6.85","2.03","744"
"212","U,R","7","Ovika, Enigma Goliath","rare","Creature","0.49","0.34","0.54","0.16","0.02","0.47","742"
"213","B,G,U","5","Gonti, Canny Acquisitor","mythic","Creature","0.99","0.75","1.07","0.6","5.2","0.59","732"
"214","U,R","3","Veyran, Voice of Duality","mythic","Creature","7.99","6.23","8.58","3.86","4.62","0.73","731"
"215","G,U","4","Volo, Guide to Monsters","rare","Creature","0.49","0.35","0.54","0.3","0.02","0.45","729"
"216","G","4","Kona, Rescue Beastie","rare","Creature","2.79","1.3","2.5","0.72","0.02","0.71","728"
"217","B,R,G","5","Lord Windgrace","mythic","Planeswalker","21.99","18.0","20.74","17.21","2.92","0.71","726"
"218","U,R,W","4","Narset, Enlightened Exile","mythic","Creature","11.99","8.27","9.3","7.4","0.02","0.78","725"
"219","R,G,W","3","Rocco, Cabaretti Caterer","uncommon","Creature","0.35","0.2","0.21","0.12","0.03","0.61","715"
"220","U,B,R","0.0","Rograkh, Son of Rohgahh // Silas Renn, Seeker Adept","uncommon","Creature","2.49","1.35","2.5","1.31","1.27","0.66","710"
"221","B,R,G","3","Indoraptor, the Perfect Hybrid","rare","Creature","16.99","13.26","18.6","11.86","4.27","0.72","709"
"222","G,W,U","3","Derevi, Empyrial Tactician","mythic","Creature","6.49","7.12","5.72","2.42","5.93","1.42","703"
"223","B,R,G","4","Yurlok of Scorch Thrash","rare","Creature","0.49","0.38","0.54","0.24","1.75","0.82","700"
"224","W,B","3","Ketramose, the New Dawn","mythic","Creature","12.99","11.82","15.02","12.68","1.97","0.85","698"
"225","W,U,B","4","Noctis, Prince of Lucis","rare","Creature","0.49","0.4","0.35","0.29","0.02","0.5","698"
"226","W,U","4","Grand Arbiter Augustin IV","rare","Creature","14.99","14.86","13.59","4.96","0.02","2.58","695"
"227","U,R,W","3","Elsha, Threefold Master","mythic","Creature","0.99","0.7","1.07","0.76","","0.2","694"
"228","R,G","4","Minsc & Boo, Timeless Heroes","mythic","Planeswalker","3.49","2.0","3.21","3.22","6.06","0.54","693"
"229","B,G","5","The Gitrog Monster","mythic","Creature","1.49","0.8","1.42","1.59","0.02","0.88","693"
"230","G","3","Shroofus Sproutsire","rare","Creature","7.99","5.74","9.3","5.47","","0.3","687"
"231","U","3","The Mindskinner","rare","Creature","2.29","1.62","2.14","0.51","0.02","0.75","683"
"232","W","2","Cloud, Midgar Mercenary","mythic","Creature","37.99","28.35","35.77","24.61","0.64","0.85","680"
"233","W,U,B,R,G","6","Ramos, Dragon Engine","mythic","Creature","3.49","2.0","2.5","2.36","0.02","0.47","679"
"234","B,R","3","Rowan, Scion of War","mythic","Creature","0.99","0.49","0.71","0.43","0.02","0.43","675"
"235","B,R,G","6","Ziatora, the Incinerator","mythic","Creature","0.99","0.39","1.07","0.36","0.02","0.35","673"
"236","R,G","5","Xenagos, God of Revels","mythic","Creature","4.99","3.34","5.0","6.09","0.03","0.65","667"
"237","U,B,R","4","Nicol Bolas, the Ravager","mythic","Creature","22.99","19.99","22.89","11.89","0.02","0.77","667"
